uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF
"4479944e-4db6-4a4d-b3c3-5524b0b3dbb7","SCBI_013.basePlot.vst","2018-01-09","vst_SCBI_2017","D02","SCBI","SCBI_013","32","1","32_01","RUOC","Rubus occidentalis L.","species",,,5,100,0,40.5,3.84,,"imatlock@field-ops.org","llemmon@field-ops.org",
"3a7f9f65-1aaa-491c-a24f-397a3d38af09","SCBI_013.basePlot.vst","2018-01-09","vst_SCBI_2017","D02","SCBI","SCBI_013","32","1","32_01","VITIS","Vitis sp.","genus",,,12,100,0,40.5,3.84,,"imatlock@field-ops.org","llemmon@field-ops.org",
"ffa59c9a-9d06-4023-ac3e-0d8da24dd637","SCBI_013.basePlot.vst","2018-01-09","vst_SCBI_2017","D02","SCBI","SCBI_013","32","1","32_01","ROMU","Rosa multiflora Thunb.","species",,,4,100,0,40.5,3.84,,"imatlock@field-ops.org","llemmon@field-ops.org",
"59911a74-e38a-4ddc-a737-31396894765f","SCBI_013.basePlot.vst","2018-01-09","vst_SCBI_2017","D02","SCBI","SCBI_013","32","1","32_01","LOJA","Lonicera japonica Thunb.","species",,,46,100,0,40.5,3.84,,"imatlock@field-ops.org","llemmon@field-ops.org",
"773cd622-b419-44c2-81fd-c1d22fd33e56","SCBI_013.basePlot.vst","2018-01-09","vst_SCBI_2017","D02","SCBI","SCBI_013","32","1","32_01","SYOR","Symphoricarpos orbiculatus Moench","species",,,20,100,0,40.5,3.84,,"imatlock@field-ops.org","llemmon@field-ops.org",
"45949721-e95e-4f9c-8ffb-c9336ec6f66e","SCBI_013.basePlot.vst","2018-01-09","vst_SCBI_2017","D02","SCBI","SCBI_013","32","1","32_01","ACNEN","Acer negundo L. var. negundo","variety",,,13,100,0,40.5,3.84,,"imatlock@field-ops.org","llemmon@field-ops.org",
"92e7bb51-6860-422a-b2c9-940c46a861a5","SCBI_016.basePlot.vst","2018-01-22","vst_SCBI_2017","D02","SCBI","SCBI_016","41","1","41_01","BETH","Berberis thunbergii DC.","species",,,100,100,0,7.1,1.66,,"llemmon@field-ops.org","imatlock@field-ops.org",
"e037a9a6-807d-427b-9791-b928148f2187","SCBI_016.basePlot.vst","2018-01-22","vst_SCBI_2017","D02","SCBI","SCBI_016","40","3","40_02","BETH","Berberis thunbergii DC.","species",,,100,100,0,4.5,2.08,,"llemmon@field-ops.org","imatlock@field-ops.org",
"fd2329d3-92b5-4b9a-bf9c-b60b113e8066","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","40",,"40_01","BETH","Berberis thunbergii DC.","species",,,100,100,0,14.0,2.00,,"llemmon@field-ops.org","jward@battelleecology.org",
"55dbbac7-41a7-4967-9c99-c61b924ee6b4","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","40",,"40_19","BETH","Berberis thunbergii DC.","species",,,77,100,0,33.0,2.04,,"llemmon@field-ops.org","jward@battelleecology.org",
"f1880356-c6a6-4994-99e9-0807fcfc865c","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","32",,"32_12","RUPH","Rubus phoenicolasius Maxim.","species",,,5,100,0,7.0,1.38,"contains former shrub groups 32_11 and 32_12; now combined as one shrub group","imatlock@field-ops.org","alandes@field-ops.org",
"daa43f9d-0faf-4271-8d63-c35fdd524e9b","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","40",,"40_04","SYOR","Symphoricarpos orbiculatus Moench","species",,,10,100,0,2.0,1.32,,"llemmon@field-ops.org","jward@battelleecology.org",
"fc3c753b-78f7-4ee6-a97d-71c2d2074603","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","41",,"41_15","BETH","Berberis thunbergii DC.","species",,,99,100,0,8.0,1.62,,"llemmon@field-ops.org","jward@battelleecology.org",
"3f8a9c8d-5635-4f25-8080-0443439df905","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","40",,"40_19","ROMU","Rosa multiflora Thunb.","species",,,20,100,0,33.0,2.04,,"llemmon@field-ops.org","jward@battelleecology.org",
"95713854-80d7-4d78-b75c-48770d80e44f","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","40",,"40_04","BETH","Berberis thunbergii DC.","species",,,90,100,0,2.0,1.32,,"llemmon@field-ops.org","jward@battelleecology.org",
"73658c9a-91d5-4e83-8111-2036c2b259d0","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","40",,"40_02","BETH","Berberis thunbergii DC.","species",,,100,100,0,9.0,1.92,,"llemmon@field-ops.org","jward@battelleecology.org",
"8d0980dc-b218-4638-bf70-90c07a0f6892","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","41",,"41_13","BETH","Berberis thunbergii DC.","species",,,100,100,0,5.0,1.38,,"llemmon@field-ops.org","jward@battelleecology.org",
"d2edf48a-d4dc-48d8-aab7-852c46fde4d3","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","32",,"32_09","ROMU","Rosa multiflora Thunb.","species",,,13,100,0,28.0,2.28,"shrub group is in subplots 32 and 31","imatlock@field-ops.org","alandes@field-ops.org",
"d0a0ca56-5ce5-46a5-9827-ca6d742a83f8","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","32",,"32_09","RUPH","Rubus phoenicolasius Maxim.","species",,,2,100,0,28.0,2.28,"shrub group is in subplots 32 and 31","imatlock@field-ops.org","alandes@field-ops.org",
"838dbb61-5bdb-446f-9dd3-7160f8e9579d","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","32",,"32_12","ROMU","Rosa multiflora Thunb.","species",,,5,100,0,7.0,1.38,"contains former shrub groups 32_11 and 32_12; now combined as one shrub group","imatlock@field-ops.org","alandes@field-ops.org",
"4a5ec944-f2f5-47c7-9799-261af4766aee","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","32",,"32_12","BETH","Berberis thunbergii DC.","species",,,90,100,0,7.0,1.38,"contains former shrub groups 32_11 and 32_12; now combined as one shrub group","imatlock@field-ops.org","alandes@field-ops.org",
"dba420f3-8f84-49fd-bfab-5f09822197c8","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","32",,"32_09","BETH","Berberis thunbergii DC.","species",,,82,100,0,28.0,2.28,"shrub group is in subplots 32 and 31","imatlock@field-ops.org","alandes@field-ops.org",
"578e69e1-46fb-45b0-9b44-f74a56c0d9a3","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","32",,"32_09","ACNEN","Acer negundo L. var. negundo","variety",,,3,100,0,28.0,2.28,"shrub group is in subplots 32 and 31","imatlock@field-ops.org","alandes@field-ops.org",
"0e1127a0-b013-4045-9738-609786cfb472","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","41",,"41_18","BETH","Berberis thunbergii DC.","species",,,100,100,0,40.5,2.04,,"llemmon@field-ops.org","jward@battelleecology.org",
"a2f7bef9-fb80-4a01-9740-1233b6403a1d","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","32",,"32_10","BETH","Berberis thunbergii DC.","species",,,99,100,0,13.0,1.56,,"imatlock@field-ops.org","alandes@field-ops.org",
"23eab00d-0a8c-4780-977b-bb477d3cf222","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","31",,"31_06","BETH","Berberis thunbergii DC.","species",,,100,100,0,10.0,1.74,,"imatlock@field-ops.org","alandes@field-ops.org",
"90b7f84a-8955-4f5b-a451-b19c62b3b33a","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","32",,"32_10","LOJA","Lonicera japonica Thunb.","species",,,1,100,0,13.0,1.56,,"imatlock@field-ops.org","alandes@field-ops.org",
"9d9e266d-cec5-4793-a75f-dccd1cbcf76c","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","41",,"41_14","BETH","Berberis thunbergii DC.","species",,,100,100,0,5.0,1.50,,"llemmon@field-ops.org","jward@battelleecology.org",
"3719545c-123d-4ac5-97b3-73f16c1e1718","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","40",,"40_19","ACNEN","Acer negundo L. var. negundo","variety",,,3,100,0,33.0,2.04,,"llemmon@field-ops.org","jward@battelleecology.org",
"7f338aa8-ad92-4d94-aaba-3227ff1070d6","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","31",,"31_05","BETH","Berberis thunbergii DC.","species",,,100,100,0,4.0,1.34,,"imatlock@field-ops.org","alandes@field-ops.org",
"c15e8e57-1107-49d9-a52e-96f46a4fcc3a","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","41",,"41_15","LOJA","Lonicera japonica Thunb.","species",,,1,100,0,8.0,1.62,,"llemmon@field-ops.org","jward@battelleecology.org",
"a7f321f7-0eef-4d7b-956a-de4507b26760","SCBI_005.basePlot.vst","2018-01-26","vst_SCBI_2017","D02","SCBI","SCBI_005","40",,"40_03","BETH","Berberis thunbergii DC.","species",,,100,100,0,14.0,1.74,,"llemmon@field-ops.org","jward@battelleecology.org",
