uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF
"8b139618-b21c-46ce-a7af-3ba9789a3096","KONZ_068.basePlot.vst","2017-11-06","vst_KONZ_2017","D06","KONZ","KONZ_068","41",,"41_01","RHAR4","Rhus aromatica Aiton","species",,,100,95,5,2.6,1.34,,"kkelly@battelleecology.org","sferguson@battelleecology.org",
"2468e458-eb21-4b5a-b648-f0d01179a737","KONZ_042.basePlot.vst","2017-11-06","vst_KONZ_2017","D06","KONZ","KONZ_042","31",,"31_02","RHAR4","Rhus aromatica Aiton","species",,,100,95,5,2.3,1.10,,"kkelly@battelleecology.org","sferguson@battelleecology.org",
"a44dd598-959f-4057-8256-9ad5784d8905","KONZ_042.basePlot.vst","2017-11-06","vst_KONZ_2017","D06","KONZ","KONZ_042","41",,"41_01","RHAR4","Rhus aromatica Aiton","species",,,98,100,0,4.4,1.48,,"kkelly@battelleecology.org","sferguson@battelleecology.org",
"c57e78a2-4cb2-47b6-b122-71f4145f09cf","KONZ_042.basePlot.vst","2017-11-06","vst_KONZ_2017","D06","KONZ","KONZ_042","41",,"41_01","SYOR","Symphoricarpos orbiculatus Moench","species",,,1,100,0,4.4,1.48,,"kkelly@battelleecology.org","sferguson@battelleecology.org",
"af6bff23-4376-482c-b2cb-ff0fd7403fac","KONZ_042.basePlot.vst","2017-11-06","vst_KONZ_2017","D06","KONZ","KONZ_042","32",,"32_02","RHAR4","Rhus aromatica Aiton","species",,,98,98,2,2.1,1.08,,"kkelly@battelleecology.org","sferguson@battelleecology.org",
"277721f5-3e3c-49cc-ae9e-763496a0813b","KONZ_042.basePlot.vst","2017-11-06","vst_KONZ_2017","D06","KONZ","KONZ_042","32",,"32_02","CODR","Cornus drummondii C.A. Mey.","species",,,2,100,0,2.1,1.08,,"kkelly@battelleecology.org","sferguson@battelleecology.org",
"6884eecc-530e-41d2-b9a1-e9c3a7aa5361","KONZ_042.basePlot.vst","2017-11-06","vst_KONZ_2017","D06","KONZ","KONZ_042","31",,"31_03","RHAR4","Rhus aromatica Aiton","species",,,95,90,10,1.6,1.10,,"kkelly@battelleecology.org","sferguson@battelleecology.org",
"7c57661c-47c5-4181-88d5-fff5a8df3317","KONZ_042.basePlot.vst","2017-11-06","vst_KONZ_2017","D06","KONZ","KONZ_042","41",,"41_02","RHAR4","Rhus aromatica Aiton","species",,,55,95,5,13.2,1.70,,"kkelly@battelleecology.org","sferguson@battelleecology.org",
"cc428b8c-4bdf-424b-9b9c-aaddc48347da","KONZ_042.basePlot.vst","2017-11-06","vst_KONZ_2017","D06","KONZ","KONZ_042","31",,"31_01","CODR","Cornus drummondii C.A. Mey.","species",,,40,98,2,13.5,1.30,,"kkelly@battelleecology.org","sferguson@battelleecology.org",
"3416d666-9642-4675-bf8c-c7fd47294260","KONZ_042.basePlot.vst","2017-11-06","vst_KONZ_2017","D06","KONZ","KONZ_042","32",,"32_01","RHAR4","Rhus aromatica Aiton","species",,,5,95,5,2.5,1.00,,"kkelly@battelleecology.org","sferguson@battelleecology.org",
