uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF
"5c9d9db4-7e46-4abf-9aa8-24df1d32e16e","NIWO_016.basePlot.vst","2016-09-07","vst_NIWO_2016","D13","NIWO","NIWO_016","31",,"31_01","JUCOD","Juniperus communis L. var. depressa Pursh","variety",,,100,80,20,7.0,0.42,,"pzerbe@field-ops.org","tdelpriore@neoninc.org",
"83de9481-3346-44a8-9d3c-72209d3d1c33","NIWO_016.basePlot.vst","2016-09-07","vst_NIWO_2016","D13","NIWO","NIWO_016","40",,"40_01","JUCOD","Juniperus communis L. var. depressa Pursh","variety",,,100,90,10,6.0,0.42,,"pzerbe@field-ops.org","tdelpriore@neoninc.org",
"800bf0b2-991b-4ffe-9c19-426936dc007a","NIWO_016.basePlot.vst","2016-09-07","vst_NIWO_2016","D13","NIWO","NIWO_016","41",,"41_01","JUCOD","Juniperus communis L. var. depressa Pursh","variety",,,100,95,5,2.0,0.40,,"pzerbe@field-ops.org","tdelpriore@neoninc.org",
"4be6b671-62ed-4d8c-9338-9bb88f536712","NIWO_016.basePlot.vst","2016-09-07","vst_NIWO_2016","D13","NIWO","NIWO_016","40",,"40_02","JUCOD","Juniperus communis L. var. depressa Pursh","variety",,,100,85,15,2.0,0.36,,"pzerbe@field-ops.org","tdelpriore@neoninc.org",
"ce5c190e-0caf-4840-9a54-c289022a6672","NIWO_016.basePlot.vst","2016-09-07","vst_NIWO_2016","D13","NIWO","NIWO_016","31",,"31_02","JUCOD","Juniperus communis L. var. depressa Pursh","variety",,,100,95,5,2.0,0.28,,"pzerbe@field-ops.org","tdelpriore@neoninc.org",
"f4e7ab49-f888-4a86-9663-d56cec671221","NIWO_004.basePlot.vst","2016-09-09","vst_NIWO_2016","D13","NIWO","NIWO_004","41","1","41_01","JUCOD","Juniperus communis L. var. depressa Pursh","variety",,,100,95,5,2.0,0.38,,"skovach@field-ops.org","kbenson@field-ops.org",
"a5b9991d-76cf-48d7-9453-07e2e80faac3","NIWO_004.basePlot.vst","2016-09-09","vst_NIWO_2016","D13","NIWO","NIWO_004","41","4","41_02","JUCOD","Juniperus communis L. var. depressa Pursh","variety",,,100,85,15,3.0,0.32,,"skovach@field-ops.org","kbenson@field-ops.org",
"634e99bd-f90b-4638-995c-caca41c35a12","NIWO_062.basePlot.vst","2016-09-15","vst_NIWO_2016","D13","NIWO","NIWO_062","41",,"41_07","SALIX","Salix sp.","genus",,,100,80,20,1.0,0.16,,"dbradley@neoninc.org","jlinden@field-ops.org",
"bf43485c-5e67-4376-b1df-3ec933cbace5","NIWO_062.basePlot.vst","2016-09-15","vst_NIWO_2016","D13","NIWO","NIWO_062","41",,"41_10","SALIX","Salix sp.","genus",,,100,88,12,1.0,0.22,,"dbradley@neoninc.org","jlinden@field-ops.org",
"465f84fb-7abf-476d-bb58-578d6c982d12","NIWO_062.basePlot.vst","2016-09-15","vst_NIWO_2016","D13","NIWO","NIWO_062","40",,"40_03","SALIX","Salix sp.","genus",,,5,80,20,13.0,1.06,,"dbradley@neoninc.org","jlinden@field-ops.org",
"8c0e3f6b-3d32-4af2-ab2b-ccc9e9d49164","NIWO_062.basePlot.vst","2016-09-15","vst_NIWO_2016","D13","NIWO","NIWO_062","40",,"40_08","ABLAL","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","variety",,,100,80,20,6.0,0.44,,"dbradley@neoninc.org","jlinden@field-ops.org",
"2cafd195-2ccb-4904-a216-4d9496ea810d","NIWO_062.basePlot.vst","2016-09-15","vst_NIWO_2016","D13","NIWO","NIWO_062","41",,"41_01","SALIX","Salix sp.","genus",,,100,90,10,1.0,0.36,,"dbradley@neoninc.org","jlinden@field-ops.org",
"fa4d9a2d-929d-4041-9667-3a033914ef03","NIWO_062.basePlot.vst","2016-09-15","vst_NIWO_2016","D13","NIWO","NIWO_062","31",,"31_04","ABLAL","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","variety",,,95,88,12,53.0,1.12,,"dbradley@neoninc.org","jlinden@field-ops.org",
