uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF
"9f6d8e3b-b9b0-478c-92d6-26458f692941","JORN_054.basePlot.vst","2016-10-05","vst_JORN_2016","D14","JORN","JORN_054","32",,"32_01","GUSA2","Gutierrezia sarothrae (Pursh) Britton & Rusby","species",,,15,95,5,6.0,0.92,,"helias @field-ops.org","srose@neoninc.org",
"0f757cda-08ab-4e50-9f4c-f74d13276633","JORN_062.basePlot.vst","2016-10-05","vst_JORN_2016","D14","JORN","JORN_062","40",,"40_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,80,20,9.0,1.42,,"dgilberti@field-ops.org","kmatthiesen@field-ops.org",
"cd671252-be52-4a07-b653-58c43c807bee","JORN_060.basePlot.vst","2016-10-05","vst_JORN_2016","D14","JORN","JORN_060","32",,"32_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,90,10,9.0,1.04,,"dgilberti@field-ops.org","kmatthiesen@field-ops.org",
"57de6e27-a72e-481d-8ce7-cbbd37ff596d","JORN_054.basePlot.vst","2016-10-05","vst_JORN_2016","D14","JORN","JORN_054","32",,"32_01","PRGL2","Prosopis glandulosa Torr.","species",,,85,90,10,6.0,0.92,,"helias @field-ops.org","srose@neoninc.org",
"5241146c-3647-49d6-a735-e9c5646d046d","JORN_044.basePlot.vst","2016-10-06","vst_JORN_2016","D14","JORN","JORN_044","41",,"41_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,90,10,4.0,0.98,,"kmatthiesen@field-ops.org","dgilberti@field-ops.org",
"9e950159-6f81-431c-b142-9e846cddc0c3","JORN_052.basePlot.vst","2016-10-06","vst_JORN_2016","D14","JORN","JORN_052","32",,"32_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,93,7,5.0,0.74,,"helias @field-ops.org","srose@neoninc.org",
"ff84ba4e-1a72-4423-acd9-c6ab2e672154","JORN_052.basePlot.vst","2016-10-06","vst_JORN_2016","D14","JORN","JORN_052","31",,"31_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,97,3,4.0,1.14,,"helias @field-ops.org","srose@neoninc.org",
"14d30229-3307-47ff-a4fd-16e1b7d93828","JORN_069.basePlot.vst","2016-10-06","vst_JORN_2016","D14","JORN","JORN_069","40",,"40_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,75,25,7.0,1.36,,"dgilberti@field-ops.org","kmatthiesen@field-ops.org",
"b374aeae-a0f4-49b7-947a-8e0fe1757bea","JORN_056.basePlot.vst","2016-10-06","vst_JORN_2016","D14","JORN","JORN_056","31",,"31_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,95,5,3.5,0.58,,"helias @field-ops.org","helias @field-ops.org",
"b171257d-72dd-4cd7-8e16-fdbcaf423061","JORN_048.basePlot.vst","2016-10-06","vst_JORN_2016","D14","JORN","JORN_048","32",,"32_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,75,25,7.0,0.76,,"srose@neoninc.org","srose@neoninc.org",
"d6656b42-0943-43d9-8a89-24a10f19e5d4","JORN_067.basePlot.vst","2016-10-06","vst_JORN_2016","D14","JORN","JORN_067","31",,"31_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,80,20,13.0,0.92,,"kmatthiesen@field-ops.org","dgilberti@field-ops.org",
"c9ca8eae-379f-4c6e-8cb4-4e6e3db1feb6","JORN_046.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_046","41",,"41_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,85,15,7.0,1.16,,"srose@neoninc.org","glawrence@field-ops.org",
"65fa1f5b-a1db-4f79-8b99-95638ac8991c","JORN_046.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_046","41",,"41_02","PRGL2","Prosopis glandulosa Torr.","species",,,100,97,3,6.0,0.76,,"srose@neoninc.org","glawrence@field-ops.org",
"13be61d1-8e33-496a-a603-c40791567cfe","JORN_046.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_046","32",,"32_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,96,4,4.0,0.88,,"srose@neoninc.org","glawrence@field-ops.org",
"10e198bd-56b8-4666-928e-7c969017258e","JORN_046.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_046","40",,"40_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,87,13,22.0,1.26,,"srose@neoninc.org","glawrence@field-ops.org",
"c520e9ca-6f73-4b57-841a-4be03ad176d4","JORN_049.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_049","32",,"32_02","PRGL2","Prosopis glandulosa Torr.","species",,,100,95,5,4.0,0.94,,"glawrence@field-ops.org","srose@neoninc.org",
"c5f8c87e-bd20-4911-8c8a-204b98fcc344","JORN_049.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_049","40",,"40_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,90,10,14.0,1.16,,"glawrence@field-ops.org","srose@neoninc.org",
"b8abaa0d-fe42-4a12-b2a2-b545ff9f86c2","JORN_057.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_057","32",,"32_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,80,20,3.0,0.54,,"kmatthiesen@field-ops.org","dgilberti@field-ops.org",
"a526e13e-bf56-4c31-9eb1-f1a3b97037e7","JORN_058.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_058","32",,"32_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,70,30,5.0,0.74,,"kmatthiesen@field-ops.org","dgilberti@field-ops.org",
"8ad36872-3fcb-4061-bbdf-b08aa250c71e","JORN_066.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_066","41",,"41_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,80,20,16.0,1.36,,"srose@battelleecology.org","glawrence@field-ops.org",
"f3db4b2d-2e25-4c3a-bb78-307a4dab8d2c","JORN_046.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_046","31",,"31_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,97,3,2.0,0.44,,"srose@neoninc.org","glawrence@field-ops.org",
"aa8c3ef3-03ce-4395-8ae3-02fd44204e4a","JORN_059.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_059","32",,"32_02","PRGL2","Prosopis glandulosa Torr.","species",,,100,75,25,4.0,0.84,,"glawrence@field-ops.org","kmatthiesen@field-ops.org",
"004daabe-980f-4684-843d-ef23594b8371","JORN_049.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_049","40",,"40_02","PRGL2","Prosopis glandulosa Torr.","species",,,100,95,5,11.0,0.92,,"glawrence@field-ops.org","srose@neoninc.org",
"4562c1e3-07f0-4aaf-b238-1682a14a7880","JORN_061.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_061","32",,"32_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,90,10,7.0,0.90,,"helias@field-ops.org","helias@field-ops.org",
"eff47b81-dbb7-4621-99b1-568a56aea2dd","JORN_059.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_059","32",,"32_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,80,20,5.0,0.70,,"dgilberti@field-ops.org","kmatthiesen@field-ops.org",
"6add06da-b185-484d-981d-bb513c921afb","JORN_057.basePlot.vst","2016-10-07","vst_JORN_2016","D14","JORN","JORN_057","40",,"40_02","PRGL2","Prosopis glandulosa Torr.","species",,,100,90,10,11.0,1.06,,"kmatthiesen@field-ops.org","dgilberti@field-ops.org",
"c0e3118a-49f0-424f-981c-0bb66a525660","JORN_068.basePlot.vst","2016-10-08","vst_JORN_2016","D14","JORN","JORN_068","31",,"31_01","PRGL2","Prosopis glandulosa Torr.","species",,,100,98,2,3.0,0.66,,"srose@neoninc.org","glawrence@field-ops.org",
