uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"4b6e7781-f080-4a67-94ee-f7d953be2d08","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48044",,"notRequired","sapling","Standing dead",,,1.3,,,,,,,,2.2,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"4b7bed23-bb5f-4b67-a4c1-b6f0a78c15cb","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48042",,"notRequired","sapling","Live, insect damaged",,,0.6,,,,,,,,1.1,10,,,"Galls.","0000-0002-1429-6928","0000-0001-5833-8133",
"d1dd5596-2382-45cc-a178-e3efd8bb3b9d","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48018",,"notRequired","small shrub","Live",,,1.3,,,,0.1,0.1,,"cylinder",1.2,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"ad42f14b-0c36-4075-be8f-599f66bdd299","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"NEON.PLA.D03.JERC.05373",,"ok",,"Lost, presumed dead",,,,,,,,,,,,,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"83aebd58-ed49-4d77-b84a-65b34703e1c6","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"NEON.PLA.D03.JERC.03438",,"ok","single bole tree","Live, disease damaged",15.7,140,12.3,,,,,,,,,,,,"Fusiform and damage at 130cm","0000-0002-1429-6928","0000-0001-5833-8133",
"eaf92bd8-fef1-444a-aaf6-954e26881746","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48009",,"notRequired","sapling","Live",,,0.8,,,,,,,,1.1,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"72a8352f-b626-483a-b24e-230cd1a95d30","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48016",,"notRequired","sapling","Live,  other damage",,,0.8,,,,,,,,1.0,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"eda7c561-ef07-49e0-bdc8-942efa29155d","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48011",,"notRequired","sapling","Live",,,0.8,,,,,,,,1.2,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"013324d4-1d79-4e0d-ac1d-1c9249df090a","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48008",,"notRequired","sapling","Live, insect damaged",,,0.7,,,,,,,,1.0,10,,,"Galls present.","0000-0002-1429-6928","0000-0001-5833-8133",
"ee7c00e1-0d02-4273-ba2d-daefc04e2fc5","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48043",,"notRequired","sapling","Live, insect damaged",,,0.8,,,,,,,,1.1,10,,,"Galls.","0000-0002-1429-6928","0000-0001-5833-8133",
