uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"a03c3e23-2374-4393-bcdf-619e62d3e682","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.01932",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Revised nested subplot excludes plant.","0000-0002-7906-5928","0000-0002-3704-5849",
"61c5d829-028e-45d3-93fa-02969e8ed7f8","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.01947",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Revised nested subplot excludes plant.","0000-0002-7906-5928","0000-0002-3704-5849",
"48df47ee-2f6f-4253-971e-3073dd1a7560","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.01954",,"ok","small shrub","Live",,,0.8,,,,1.0,0.9,,"inverted cone",5.6,10,0.09,0.06,,"0000-0002-7906-5928","0000-0002-3704-5849",
"d7b538b8-0284-4ccb-bf33-afaa8390bc75","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.02625",,"ok","small shrub","Live",,,0.5,0.2,,,0.5,0.4,,"ellipsoid or sphere",3.7,10,,,,"0000-0002-7906-5928","0000-0002-3704-5849",
"6c996195-4cec-44d6-ac5e-6342ddccf121","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.02607",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Revised nested subplot excludes plant.","0000-0002-7906-5928","0000-0002-3704-5849",
"9f938e03-1214-4d7a-839d-ceef9a351890","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.01926",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Revised nested subplot excludes plant.","0000-0002-7906-5928","0000-0002-3704-5849",
"b849f82e-57c1-402f-8e60-28c50d01eb72","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.01925",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Revised nested subplot excludes plant.","0000-0002-7906-5928","0000-0002-3704-5849",
"7851d55a-00d5-4f6f-bc40-f252cdaee299","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.01944",,"ok","small shrub","Standing dead",,,0.5,,,,1.2,0.5,,"oblate half-sphere",2.5,10,,,"Unknown cause of death.","0000-0002-7906-5928","0000-0002-3704-5849",
"753d5b25-5217-405b-b08a-bcf472210f00","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.02615",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Revised nested subplot excludes plant.","0000-0002-7906-5928","0000-0002-3704-5849",
"074e47d6-ed2e-4488-9c65-340edf28fcb2","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.01948",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Revised nested subplot excludes plant.","0000-0002-7906-5928","0000-0002-3704-5849",
"ee8c82c4-4897-4b36-8c6b-7132fcf1e2d1","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.02631",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Revised nested subplot excludes plant.","0000-0002-7906-5928","0000-0002-3704-5849",
"cfd7d351-17f3-45af-9523-ba620cf35dbb","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.01921",,"ok","small shrub","Live",,,0.9,,,,1.2,1.0,,"half-sphere",3.4,10,,,,"0000-0002-7906-5928","0000-0002-3704-5849",
"f9cb2329-c980-4a78-8da8-fa143175caf1","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.02627",,"ok","small shrub","Live",,,0.5,,,,0.8,0.5,,"oblate half-sphere",2.2,10,,,,"0000-0002-7906-5928","0000-0002-3704-5849",
"cf734f92-607a-481b-b381-7be99157aed6","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.02620",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Revised nested subplot excludes plant.","0000-0002-7906-5928","0000-0002-3704-5849",
"39189c2a-8473-4710-8efb-e8d432304e07","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.01946",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Revised nested subplot excludes plant.","0000-0002-7906-5928","0000-0002-3704-5849",
"49037359-284d-434d-b926-b896470a6b4a","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.01924",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Revised nested subplot excludes plant.","0000-0002-7906-5928","0000-0002-3704-5849",
"317aa878-1531-4443-ad3f-f9c3081d8f38","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.02633",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Revised nested subplot excludes plant.","0000-0002-7906-5928","0000-0002-3704-5849",
"ba2b2686-999b-4bf9-a8d0-d5ad7e8ead58","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.02623",,"ok","small shrub","Live",,,0.6,,,,0.5,0.5,,"half-sphere",1.8,10,,,,"0000-0002-7906-5928","0000-0002-3704-5849",
"d774fd01-9fc9-45ef-a42b-4ba2c1006746","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.02609",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Revised nested subplot excludes plant.","0000-0002-7906-5928","0000-0002-3704-5849",
"9f51d05c-8389-4d1b-82b7-ccc083aa984a","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.02626",,"ok","small shrub","Live",,,0.3,,,,0.6,0.3,,"oblate half-sphere",2.0,9,,,,"0000-0002-7906-5928","0000-0002-3704-5849",
"f27cde04-9ebb-4fb0-b84b-047243e999ba","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.01952",,"ok","small shrub","Live",,,0.8,,,,1.1,1.0,,"half-sphere",7.2,10,,,,"0000-0002-7906-5928","0000-0002-3704-5849",
"b838fc53-22fb-4c7b-874b-9036cfada368","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.02623",,"ok","small shrub","Live",,,0.6,,,,0.5,0.5,,"half-sphere",2.1,10,,,,"0000-0002-7906-5928","0000-0002-3704-5849",
"2541549b-9d10-4692-8ef5-17b7e9a373cc","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.02611",,"ok","small shrub","Standing dead",,,0.7,,,,0.9,0.9,,"half-sphere",3.6,10,,,"Unknown cause of death.","0000-0002-7906-5928","0000-0002-3704-5849",
"6753a7cd-bd90-4f3b-bc0c-b7bd9929ee51","ONAQ_062.basePlot.vst","2019-10-01","vst_ONAQ_2019","D15","ONAQ","ONAQ_062",,"NEON.PLA.D15.ONAQ.02601",,"ok","small shrub","Live",,,0.7,,,,0.5,0.4,,"half-sphere",1.5,10,,,,"0000-0002-7906-5928","0000-0002-3704-5849",
