uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"630de8ff-90c2-4be2-91f0-335a4279cde6","SCBI_064.basePlot.vst","2018-10-03","D02","SCBI","SCBI_064","tower","deciduousForest",38.891613,-78.139038,"WGS84",20.2,748135.28,4308640.26,"17N",357.4,0.2,"vst_SCBI_2018","NEON.DOC.000987vH","Y","presentInAll","Y","presentInAll","Y","presentInAll","25","noneSelected",800,100,800,,,,
"2c3a954e-d0b3-490c-8139-84c8012b96b4","SCBI_051.basePlot.vst","2018-10-04","D02","SCBI","SCBI_051","tower","deciduousForest",38.892471,-78.142806,"WGS84",20.3,747805.43,4308725.25,"17N",312.2,0.3,"vst_SCBI_2018","NEON.DOC.000987vH","Y","presentInAll","Y","presentInAll","Y","presentInAll","25","noneSelected",800,100,800,,,,
"324c62b3-c1ed-420c-99f7-1a2eef18e453","SCBI_049.basePlot.vst","2018-10-08","D02","SCBI","SCBI_049","tower","deciduousForest",38.894615,-78.139640,"WGS84",20.2,748072.60,4308971.84,"17N",365.1,0.2,"vst_SCBI_2018","NEON.DOC.000987vH","Y","presentInAll","Y","presentInAll","Y","presentInAll","noneSelected","noneSelected",800,800,800,,,,
"36e54484-5ef8-43d4-a12d-fb8cce107f86","SCBI_058.basePlot.vst","2018-10-10","D02","SCBI","SCBI_058","tower","deciduousForest",38.889714,-78.138472,"WGS84",20.1,748190.99,4308431.02,"17N",347.1,0.2,"vst_SCBI_2018","NEON.DOC.000987vH","Y","presentInAll","Y","39_3","Y","presentInAll","10","100",800,40,400,,,,
"ca4f6413-afbb-4f8a-ba5f-98900771b01b","SCBI_057.basePlot.vst","2018-10-12","D02","SCBI","SCBI_057","tower","deciduousForest",38.891377,-78.141161,"WGS84",20.1,747951.93,4308608.29,"17N",335.3,0.2,"vst_SCBI_2018","NEON.DOC.000987vH","Y","presentInAll","Y","presentInAll","Y","23","25","noneSelected",800,100,800,,,,
"3ca35adb-b405-45dd-8563-d104f0350fa7","SCBI_053.basePlot.vst","2018-10-16","D02","SCBI","SCBI_053","tower","deciduousForest",38.889773,-78.140518,"WGS84",20.1,748013.30,4308432.00,"17N",353.9,0.2,"vst_SCBI_2018","NEON.DOC.000987vH","Y","presentInAll","Y","presentInAll","Y","presentInAll","10","100",800,40,400,,,,
"147c5a0c-59ae-4127-a0d2-a7e00fe4dcf8","SCBI_052.basePlot.vst","2018-10-18","D02","SCBI","SCBI_052","tower","deciduousForest",38.889137,-78.137096,"WGS84",20.1,748312.37,4308370.72,"17N",350.3,0.2,"vst_SCBI_2018","NEON.DOC.000987vH","Y","presentInAll","Y","presentInAll","Y","presentInAll","25","100",800,100,400,,,,
"d7ab53bd-65ba-4612-8f99-d0e248db5fdd","SCBI_056.basePlot.vst","2018-10-24","D02","SCBI","SCBI_056","tower","deciduousForest",38.890350,-78.143600,"WGS84",20.2,747743.93,4308487.66,"17N",334.9,0.2,"vst_SCBI_2018","NEON.DOC.000987vH","Y","presentInAll","Y","presentInAll","Y","presentInAll","25","noneSelected",800,100,800,,,,
"bbf427a8-e5c9-4a1f-892e-26ffa5829e15","SCBI_050.basePlot.vst","2018-10-25","D02","SCBI","SCBI_050","tower","deciduousForest",38.890602,-78.142227,"WGS84",20.1,747862.16,4308519.37,"17N",346.0,0.2,"vst_SCBI_2018","NEON.DOC.000987vH","Y","presentInAll","Y","presentInAll","Y","presentInAll","10","noneSelected",800,40,800,,,,
"be57f1ae-5941-49cd-85b7-18ebea0eb354","SCBI_061.basePlot.vst","2018-10-29","D02","SCBI","SCBI_061","tower","evergreenForest",38.889507,-78.142209,"WGS84",20.3,747867.53,4308397.87,"17N",326.7,0.5,"vst_SCBI_2018","NEON.DOC.000987vH","Y","presentInAll","Y","presentInAll","Y","presentInAll","10","100",800,40,400,,,,
