uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"49f80264-4890-4912-a63e-23ca3f2f6efa","WOOD_018.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_018",,"NEON.PLA.D09.WOOD.00146",,,"sapling","Live",1.9,10,0.9,,,,,,,,,,,,,,,"legacyData"
"48bb37b2-db4d-4753-af77-cd7c5dc8db99","WOOD_018.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_018",,"NEON.PLA.D09.WOOD.00149",,,"small shrub","Live",1.2,10,0.6,,,,0.9,0.4,,"half-sphere",,,,,,,,"legacyData"
"044ae47a-0d40-4688-a52a-d8dd527a953d","WOOD_009.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_009",,"NEON.PLA.D09.WOOD.00140",,,"sapling","Standing dead",1.0,10,0.6,,,,,,,,,,,,,,,"legacyData"
"d7824763-9bdd-4710-934f-866f8832da64","WOOD_009.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_009",,"NEON.PLA.D09.WOOD.00141",,,"sapling","Standing dead",1.1,10,0.7,,,,,,,,,,,,,,,"legacyData"
"14fceab1-d2d1-4421-8ae3-c523e674f92d","WOOD_018.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_018",,"NEON.PLA.D09.WOOD.00150",,,"sapling","Live",1.4,10,0.7,,,,,,,,,,,,"No Transcription Errors Found",,,"legacyData"
"2fbfe3ba-d8fe-4d66-b5da-3b12baa5f345","WOOD_018.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_018",,"NEON.PLA.D09.WOOD.00148",,,"small shrub","Live",1.1,10,0.5,,,,0.5,0.3,,"half-sphere",,,,,,,,"legacyData"
"8d8e4d1d-a530-4d1b-aef0-9008aac58683","WOOD_018.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_018",,"NEON.PLA.D09.WOOD.00147",,,"small shrub","Live",1.1,10,0.7,,,,0.7,0.5,,"half-sphere",,,,,,,,"legacyData"
"56814321-dc63-49c9-9345-a14351738531","WOOD_018.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_018",,"NEON.PLA.D09.WOOD.00142",,,"sapling","Live",1.1,10,0.6,,,,,,,,,,,,,,,"legacyData"
"f6f5a057-a0b7-42c4-8ef5-bd2a13cca0e4","WOOD_015.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_015",,"NEON.PLA.D09.WOOD.00153",,,"small shrub","Live",1.7,10,0.9,,,,0.8,0.6,,"oblate half-sphere",,,,,"No Transcription Errors Found",,,"legacyData"
"13fd23ba-6287-4e29-a7f8-7fe7442ca185","WOOD_018.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_018",,"NEON.PLA.D09.WOOD.00144",,,"sapling","Live",1.2,10,0.8,,,,,,,,,,,,"No Transcription Errors Found",,,"legacyData"
"a549ae62-16d8-4abb-9186-e2aceac2745b","WOOD_018.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_018",,"NEON.PLA.D09.WOOD.00145",,,"small shrub","Live",1.6,10,0.9,,,,0.7,0.7,,"cylinder",,,,,,,,"legacyData"
"bf953cfc-5c0b-481f-ab78-71785d049a3f","WOOD_018.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_018",,"NEON.PLA.D09.WOOD.00152",,,"small shrub","Live",1.3,10,0.9,,,,0.7,0.7,,"cylinder",,,,,,,,"legacyData"
"ee2a1418-3add-4952-b4ea-0ef83cd408c0","WOOD_018.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_018",,"NEON.PLA.D09.WOOD.00143",,,"sapling","Live",1.6,10,0.9,,,,,,,,,,,,,,,"legacyData"
"5326020d-b83e-4e12-b9da-f71802a6ac71","WOOD_018.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_018",,"NEON.PLA.D09.WOOD.00151",,,"sapling","Live",1.0,10,0.7,,,,,,,,,,,,,,,"legacyData"
"09964762-8cc2-4fd1-af4e-389161f54fd2","WOOD_009.basePlot.vst","2014-10-01","vst_WOOD_2014","D09","WOOD","WOOD_009",,"NEON.PLA.D09.WOOD.00139",,,"sapling","Live",1.0,10,0.9,,,,,,,,,,,,"No Transcription Errors Found",,,"legacyData"
"cf3d44c7-9b8a-4d8b-8f1b-c15b14400942","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00197",,,"sapling","Live",1.5,10,1.2,,,,,,,,,,,,,,,"legacyData"
"760717c5-e271-40ab-a0fb-494b879d7845","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00166",,,"sapling","Live",1.1,10,1.0,,,,,,,,,,,,,,,"legacyData"
"6d9ab5d9-0ce7-4bae-96aa-619fd53ea45a","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00167",,,"sapling","Live",1.3,10,1.2,,,,,,,,,,,,,,,"legacyData"
"b3f0df93-28f0-420e-ae92-25866768ec0e","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00169",,,"sapling","Live",1.3,10,1.0,,,,,,,,,,,,,,,"legacyData"
"a0bc9674-0738-4495-945e-b6a97e832b24","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00181",,,"sapling","Live",1.5,10,1.2,,,,,,,,,,,,,,,"legacyData"
"8f0fb6f7-8dea-4e82-bf98-4f79be3582b5","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00208",,,"sapling","Live",1.7,10,1.3,,,,,,,"cylinder",,,,,,,,"legacyData"
